critic_id,name,media,country
c139,Raymond Zhou,China Daily,China
c140,Rebecca Laurence,BBC Culture,UK
c141,Rene Rodriguez,The Miami Herald,US
c142,Richard Brody,The New Yorker,US
c143,Richard Lawson,Vanity Fair,US
c144,Robbie Collin,The Telegraph,UK
c145,Sam Adams,Freelance film critic,US
c146,Sam Rigby,BBC Culture,UK
c147,Samuel Castro,El Colombiano,Colombia
c148,Scott Collura,IGN,US
c149,Scott Feinberg,The Hollywood Reporter,US
c150,Scott Renshaw,Salt Lake City Weekly,US
c151,Scott Tobias,Freelance film critic,US
c152,Shiguehiko Hasumi,University of Tokyo,Japan
c153,Shubhra Gupta,The Indian Express,India
c154,Simon Abrams,Freelance film critic,US
c155,Soh Jae Yong,Seoul Institute of the Arts,South Korea
c156,Stephanie Zacharek,Time Magazine,US
c157,Stephen Teo,Nanyang Techological University,Singapore
c158,Stephen Whitty,Freelance film critic,US
c159,Steve Persall,Tampa Bay Times,US
c160,Steven Gaydos,Variety,US
c161,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland
c162,Tasha Robinson,The Verge,US
c163,Thelma Adams,Freelance film critic,US
c164,Tim Appelo,The Wrap,US
c165,Tim Grierson,Screen International,US
c166,Tim Robey,The Daily Telegraph,UK
c167,Tina Hassannia,Freelance film critic,Canada
c168,Todd McCarthy,The Hollywood Reporter,US
c169,Tom Gunning,University of Chicago,US
c170,Tomris Laffly,Freelance film critic,US
c171,Uri Klein,Haaretz,Israel
c172,Utpal Borpujari,Freelance film critic,India
c173,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany
c174,Wen Tien-Hsiang,Taipei Golden Horse Film Festival,Taiwan
c175,Yael Shuv,Time Out Tel Aviv,Israel
c176,Zakir Hossein Raju,Independent University,Bangladesh
c177,Zhanna Issabayeva,Freelance film critic,Kazakhstan
